date,trend
2020-04-01,40
2020-04-02,47
2020-04-03,42
2020-04-04,38
2020-04-05,39
2020-04-06,45
2020-04-07,47
2020-04-08,43
2020-04-09,41
2020-04-10,46
2020-04-11,41
2020-04-12,41
2020-04-13,42
2020-04-14,40
2020-04-15,42
2020-04-16,43
2020-04-17,40
2020-04-18,40
2020-04-19,39
2020-04-20,40
2020-04-21,40
2020-04-22,40
2020-04-23,44
2020-04-24,44
2020-04-25,42
2020-04-26,43
2020-04-27,45
2020-04-28,44
2020-04-29,63
2020-04-30,71
2020-05-01,57
2020-05-02,51
2020-05-03,53
2020-05-04,51
2020-05-05,50
2020-05-06,54
2020-05-07,67
2020-05-08,78
2020-05-09,70
2020-05-10,85
2020-05-11,100
2020-05-12,77
2020-05-13,63
2020-05-14,63
2020-05-15,56
2020-05-16,48
2020-05-17,53
2020-05-18,50
2020-05-19,47
2020-05-20,50
2020-05-21,50
2020-05-22,45
2020-05-23,42
2020-05-24,43
2020-05-25,44
2020-05-26,43
2020-05-27,43
2020-05-28,43
2020-05-29,41
2020-05-30,39
2020-05-31,40
